id,resp_1,resp_2,resp_3,resp_4,resp_5,resp_6,resp_7,resp_8,resp_9,resp_10,resp_11,resp_12,resp_13,resp_14,resp_15,fecha
2,18 anos,desempleado,p,muy probable,es necesario,excelentes,entre 10000 y 30000,entre 10 y 15,muy eficiente,personal medico,si,muy conforme,creo que es muy necesario,funciona de forma regular,ayudaria a mejorar los servicios de atencion medica,2023-05-14 13:19:39.542688
3,entre 35 y 45 anos,trabajador independiente,ps,muy probable,es necesario,no tan bueno,entre 30000 y 60000,no puedo ahorrar,ineficiente,falta mejorar servicio, no se usa,conforme,creo que es necesario,funciona de forma regular,mejorar las oportunidades,2023-05-14 21:10:35.995099
4,entre 24 y 35 anos,estudiante,pst,probable,es necesario,los precios son muy altos,entre 30000 y 60000,no puedo ahorrar,mediocre,buena,faltan,conforme pero deberian mejorar,creo que es necesario,funciona mal,haria todo lo anterior,2023-05-16 15:51:26.834978
5,entre 35 y 45 anos,trabajador independiente,ps,muy probable,es necesario,no tan bueno,entre 60000 y 90000,nunca he ahorrado,eficiente,mediocre,se usa,inconforme,creo que es muy necesario,necesita muchos mas recursos,haria todo lo anterior,2023-05-18 01:37:46.295862
6,entre 24 y 35 anos,trabajador en relacion de dependencia,ps,lo pensaria,es necesario,falta ofrecer variedad de productos,no salario mensual,entre 10 y 15,eficiente,falta mejorar servicio,faltan,inconforme,creo que es muy necesario,funciona de forma regular,mejorar las oportunidades,2023-05-18 15:52:14.415532
7,entre 24 y 35 anos,trabajador en relacion de dependencia,ps,muy probable,existen demasiadas fuentes de trabajo,excelentes,entre 60000 y 90000,mas del 30,muy eficiente,personal medico,si,muy conforme,no lo creo necesario,funciona de forma regular,dejaria,2023-05-18 16:05:03.392514
8,entre 35 y 45 anos,trabajador independiente,ps,muy probable,es necesario,no tan bueno,no salario mensual,no puedo ahorrar,muy ineficiente,falta mejorar servicio,faltan,inconforme,creo que es muy necesario,necesita muchos mas recursos,haria todo lo anterior,2023-05-29 22:51:19.782575
9,entre 35 y 45 anos,trabajador independiente,ps,muy probable,es necesario,falta ofrecer variedad de productos,mas de 100000,mas del 30,mediocre,falta mejorar servicio,se usa,muy inconforme,creo que es muy necesario,necesita muchos mas recursos,haria todo lo anterior,2023-06-02 16:53:45.433445
10,18 anos,estudiante,ps,lo pensaria,es necesario,no tan bueno,no salario mensual,entre 15 y 30,muy ineficiente,mediocre,faltan,conforme,creo que es necesario,necesita muchos mas recursos,mejorar las oportunidades,2023-06-22 18:24:00.295377
11,18 anos,estudiante,ps,lo pensaria,es necesario,no tan bueno,no salario mensual,entre 15 y 30,muy ineficiente,mediocre,faltan,conforme,creo que es necesario,necesita muchos mas recursos,mejorar las oportunidades,2023-06-22 18:24:07.661596
12,18 anos,trabajador independiente,ps,lo pensaria,prefiero viajar a trabajar,falta ofrecer variedad de productos,entre 30000 y 60000,nunca he ahorrado,eficiente,buena,faltan,conforme,creo que es necesario,necesita muchos mas recursos,mejorar las oportunidades,2023-07-02 23:26:40.336974
13,entre 18 y 24 anos,trabajador independiente,pst,lo pensaria,es necesario,falta ofrecer variedad de productos,no salario mensual,no puedo ahorrar,eficiente,falta mejorar servicio,si,conforme pero deberian mejorar,creo que es necesario,funciona de forma regular,mejorar las oportunidades,2023-07-21 00:47:13.701106
14,más de 45 anos,empleado publico,ps,probable,es necesario,falta ofrecer variedad de productos,mas de 100000,no puedo ahorrar,mediocre,mediocre,faltan,conforme pero deberian mejorar,creo que es muy necesario,necesita muchos mas recursos,mejorar las oportunidades,2023-09-20 12:37:32.221904
15,entre 35 y 45 años,trabajador independiente,primario secundario,muy probable,es muy necesario,no tan bueno,entre 10000 y 30000,entre 15 y 30 porcentaje,ineficiente,falta mejorar servicio,se utiliza de forma inadecuada,inconforme,si es muy necesario,necesita mas recursos,haria todo lo anterior,2023-09-28 23:47:14.345807
1,18 años,desempleado,p,muy probable,es necesario,excelentes,entre 10000 y 30000,entre 10 y 15,muy eficiente,personal medico,si,muy conforme,creo que es muy necesario,funciona muy bien,ayudaria a mejorar el sistema educativo,2023-05-14 13:17:42.261268
16,entre 35 y 45 años,en relacion de dependencia,primario secundario,muy probable,es muy necesario,muy bueno,mas de 100000,no puedo ahorrar,muy ineficiente,mediocre,no lo se,conforme,si es muy necesario,funciona de forma regular,dejaria todo como esta,2023-11-02 03:08:04.137321
17,entre 35 y 45 años,trabajador independiente,primario secundario,muy probable,es muy necesario,no tan bueno,no cuento con salario mensual,entre 15 y 30 por ciento,ineficiente,falta mejorar servicio,faltan mejorar las utilidades,inconforme,si es muy necesario,necesita mas recursos,haria todo lo anterior,2023-11-07 11:22:36.794327
18,entre 35 y 45 años,trabajador independiente,primario secundario,muy probable,es muy necesario,no tan bueno,no cuento con salario mensual,entre 15 y 30 por ciento,ineficiente,falta mejorar servicio,faltan mejorar las utilidades,inconforme,si es muy necesario,necesita mas recursos,haria todo lo anterior,2023-11-07 11:33:35.243338
19,entre 35 y 45 años,trabajador independiente,primario secundario,muy probable,es muy necesario,no tan bueno,mas de 300.000,entre 15 y 30 por ciento,ineficiente,falta mejorar servicio,faltan mejorar las utilidades,inconforme,si es muy necesario,necesita mas recursos,haria todo lo anterior,2023-11-07 11:40:21.58215
20,entre 24 y 35 años,trabajador independiente,primario secundario,probable,es muy necesario,no tan bueno,no cuento con salario mensual,no puedo ahorrar,eficiente,muy mala,faltan mejorar las utilidades,conforme pero deberian mejorar,es necesario,necesita mas recursos,haria todo lo anterior,2023-11-07 14:47:15.917579
